date,type,active_license_count,active_license_price,inactive_license_count,daily_active_diff,daily_price_diff,daily_inactive_diff
2023-01-11,PASS,1,100.0,0,0.0,0,0.0
2023-01-11,SIM,0,0,0,0.0,0,0.0
2023-01-11,SUPERVISION,0,0,0,0.0,0,0.0
2023-01-12,PASS,0,0,0,-1.0,-100.0,0.0
2023-01-12,SIM,0,0,0,0.0,0,0.0
2023-01-12,SUPERVISION,1,5000.0,0,1.0,5000.0,0.0
2023-01-13,PASS,0,0.0,1,0.0,0.0,1.0
2023-01-13,SIM,0,0,0,0.0,0,0.0
2023-01-13,SUPERVISION,0,0,0,-1.0,-5000.0,0.0
2023-01-14,PASS,0,0,0,0.0,0.0,-1.0
2023-01-14,SIM,0,0,0,0.0,0,0.0
2023-01-14,SUPERVISION,1,5000.0,0,1.0,5000.0,0.0
2023-01-15,PASS,1,100.0,0,1.0,100.0,0.0
2023-01-15,SIM,0,0,0,0.0,0,0.0
2023-01-15,SUPERVISION,0,0,0,-1.0,-5000.0,0.0
2023-01-16,PASS,0,0,0,-1.0,-100.0,0.0
2023-01-16,SIM,1,1000.0,0,1.0,1000.0,0.0
2023-01-16,SUPERVISION,0,0,0,0.0,0,0.0
2023-01-17,PASS,1,100.0,0,1.0,100.0,0.0
2023-01-17,SIM,0,0,0,-1.0,-1000.0,0.0
2023-01-17,SUPERVISION,0,0,0,0.0,0,0.0
2023-01-18,PASS,0,0,0,-1.0,-100.0,0.0
2023-01-18,SIM,0,0,0,0.0,0,0.0
2023-01-18,SUPERVISION,1,5000.0,0,1.0,5000.0,0.0
2023-01-19,PASS,0,0,0,0.0,0,0.0
2023-01-19,SIM,0,0.0,1,0.0,0.0,1.0
2023-01-19,SUPERVISION,0,0,0,-1.0,-5000.0,0.0
2023-01-20,PASS,0,0,0,0.0,0,0.0
2023-01-20,SIM,0,0,0,0.0,0.0,-1.0
2023-01-20,SUPERVISION,0,0.0,1,0.0,0.0,1.0
2023-01-21,PASS,0,0,0,0.0,0,0.0
2023-01-21,SIM,1,1000.0,0,1.0,1000.0,0.0
2023-01-21,SUPERVISION,0,0,0,0.0,0.0,-1.0
2023-01-22,PASS,0,0,0,0.0,0,0.0
2023-01-22,SIM,0,0,0,-1.0,-1000.0,0.0
2023-01-22,SUPERVISION,2,10000.0,0,2.0,10000.0,0.0
2023-01-23,PASS,1,100.0,0,1.0,100.0,0.0
2023-01-23,SIM,0,0,0,0.0,0,0.0
2023-01-23,SUPERVISION,1,5000.0,1,-1.0,-5000.0,1.0
2023-01-24,PASS,1,100.0,0,0.0,0.0,0.0
2023-01-24,SIM,0,0,0,0.0,0,0.0
2023-01-24,SUPERVISION,2,10000.0,0,1.0,5000.0,-1.0
2023-01-25,PASS,1,100.0,0,0.0,0.0,0.0
2023-01-25,SIM,0,0,0,0.0,0,0.0
2023-01-25,SUPERVISION,1,5000.0,1,-1.0,-5000.0,1.0
2023-01-26,PASS,1,100.0,0,0.0,0.0,0.0
2023-01-26,SIM,0,0,0,0.0,0,0.0
2023-01-26,SUPERVISION,1,5000.0,1,0.0,0.0,0.0
2023-01-27,PASS,1,100.0,0,0.0,0.0,0.0
2023-01-27,SIM,1,1000.0,0,1.0,1000.0,0.0
2023-01-27,SUPERVISION,0,0.0,1,-1.0,-5000.0,0.0
2023-01-28,PASS,1,100.0,0,0.0,0.0,0.0
2023-01-28,SIM,0,0,0,-1.0,-1000.0,0.0
2023-01-28,SUPERVISION,0,0.0,2,0.0,0.0,1.0
2023-01-29,PASS,1,100.0,1,0.0,0.0,1.0
2023-01-29,SIM,1,1000.0,0,1.0,1000.0,0.0
2023-01-29,SUPERVISION,0,0.0,1,0.0,0.0,-1.0
2023-01-30,PASS,0,0,0,-1.0,-100.0,-1.0
2023-01-30,SIM,1,1000.0,1,0.0,0.0,1.0
2023-01-30,SUPERVISION,2,10000.0,0,2.0,10000.0,-1.0
2023-01-31,PASS,0,0.0,1,0.0,0.0,1.0
2023-01-31,SIM,2,2000.0,0,1.0,1000.0,-1.0
2023-01-31,SUPERVISION,1,5000.0,0,-1.0,-5000.0,0.0
2023-02-01,PASS,0,0.0,1,0.0,0.0,0.0
2023-02-01,SIM,2,2000.0,0,0.0,0.0,0.0
2023-02-01,SUPERVISION,1,5000.0,0,0.0,0.0,0.0
2023-02-02,PASS,1,100.0,0,1.0,100.0,-1.0
2023-02-02,SIM,1,1000.0,0,-1.0,-1000.0,0.0
2023-02-02,SUPERVISION,2,10000.0,0,1.0,5000.0,0.0
2023-02-03,PASS,1,100.0,0,0.0,0.0,0.0
2023-02-03,SIM,2,2000.0,0,1.0,1000.0,0.0
2023-02-03,SUPERVISION,1,5000.0,0,-1.0,-5000.0,0.0
2023-02-04,PASS,1,100.0,0,0.0,0.0,0.0
2023-02-04,SIM,1,1000.0,0,-1.0,-1000.0,0.0
2023-02-04,SUPERVISION,2,10000.0,0,1.0,5000.0,0.0
2023-02-05,PASS,1,100.0,0,0.0,0.0,0.0
2023-02-05,SIM,1,1000.0,0,0.0,0.0,0.0
2023-02-05,SUPERVISION,1,5000.0,1,-1.0,-5000.0,1.0
2023-02-06,PASS,0,0,0,-1.0,-100.0,0.0
2023-02-06,SIM,1,1000.0,0,0.0,0.0,0.0
2023-02-06,SUPERVISION,2,10000.0,1,1.0,5000.0,0.0
2023-02-07,PASS,0,0,0,0.0,0,0.0
2023-02-07,SIM,1,1000.0,0,0.0,0.0,0.0
2023-02-07,SUPERVISION,3,15000.0,0,1.0,5000.0,-1.0
2023-02-08,PASS,0,0.0,1,0.0,0.0,1.0
2023-02-08,SIM,2,2000.0,0,1.0,1000.0,0.0
2023-02-08,SUPERVISION,2,10000.0,0,-1.0,-5000.0,0.0
2023-02-09,PASS,0,0,0,0.0,0.0,-1.0
2023-02-09,SIM,2,2000.0,0,0.0,0.0,0.0
2023-02-09,SUPERVISION,3,15000.0,0,1.0,5000.0,0.0
2023-02-10,PASS,1,100.0,0,1.0,100.0,0.0
2023-02-10,SIM,4,4000.0,0,2.0,2000.0,0.0
2023-02-10,SUPERVISION,0,0,0,-3.0,-15000.0,0.0
2023-02-11,PASS,0,0,0,-1.0,-100.0,0.0
2023-02-11,SIM,4,4000.0,0,0.0,0.0,0.0
2023-02-11,SUPERVISION,1,5000.0,0,1.0,5000.0,0.0
2023-02-12,PASS,0,0,0,0.0,0,0.0
2023-02-12,SIM,3,3000.0,1,-1.0,-1000.0,1.0
2023-02-12,SUPERVISION,1,5000.0,0,0.0,0.0,0.0
2023-02-13,PASS,0,0,0,0.0,0,0.0
2023-02-13,SIM,2,2000.0,0,-1.0,-1000.0,-1.0
2023-02-13,SUPERVISION,2,10000.0,1,1.0,5000.0,1.0
2023-02-14,PASS,0,0,0,0.0,0,0.0
2023-02-14,SIM,2,2000.0,0,0.0,0.0,0.0
2023-02-14,SUPERVISION,3,15000.0,0,1.0,5000.0,-1.0
2023-02-15,PASS,0,0,0,0.0,0,0.0
2023-02-15,SIM,1,1000.0,1,-1.0,-1000.0,1.0
2023-02-15,SUPERVISION,2,10000.0,1,-1.0,-5000.0,1.0
2023-02-16,PASS,0,0,0,0.0,0,0.0
2023-02-16,SIM,1,1000.0,1,0.0,0.0,0.0
2023-02-16,SUPERVISION,2,10000.0,1,0.0,0.0,0.0
2023-02-17,PASS,0,0.0,1,0.0,0.0,1.0
2023-02-17,SIM,2,2000.0,1,1.0,1000.0,0.0
2023-02-17,SUPERVISION,1,5000.0,0,-1.0,-5000.0,-1.0
2023-02-18,PASS,0,0,0,0.0,0.0,-1.0
2023-02-18,SIM,1,1000.0,1,-1.0,-1000.0,0.0
2023-02-18,SUPERVISION,2,10000.0,1,1.0,5000.0,1.0
2023-02-19,PASS,0,0,0,0.0,0,0.0
2023-02-19,SIM,1,1000.0,1,0.0,0.0,0.0
2023-02-19,SUPERVISION,3,15000.0,0,1.0,5000.0,-1.0
2023-02-20,PASS,1,100.0,0,1.0,100.0,0.0
2023-02-20,SIM,1,1000.0,2,0.0,0.0,1.0
2023-02-20,SUPERVISION,1,5000.0,0,-2.0,-10000.0,0.0
2023-02-21,PASS,1,100.0,0,0.0,0.0,0.0
2023-02-21,SIM,1,1000.0,1,0.0,0.0,-1.0
2023-02-21,SUPERVISION,1,5000.0,1,0.0,0.0,1.0
2023-02-22,PASS,1,100.0,1,0.0,0.0,1.0
2023-02-22,SIM,1,1000.0,1,0.0,0.0,0.0
2023-02-22,SUPERVISION,1,5000.0,0,0.0,0.0,-1.0
2023-02-23,PASS,1,100.0,0,0.0,0.0,-1.0
2023-02-23,SIM,1,1000.0,0,0.0,0.0,-1.0
2023-02-23,SUPERVISION,2,10000.0,1,1.0,5000.0,1.0
2023-02-24,PASS,2,200.0,0,1.0,100.0,0.0
2023-02-24,SIM,1,1000.0,0,0.0,0.0,0.0
2023-02-24,SUPERVISION,1,5000.0,1,-1.0,-5000.0,0.0
2023-02-25,PASS,1,100.0,0,-1.0,-100.0,0.0
2023-02-25,SIM,1,1000.0,0,0.0,0.0,0.0
2023-02-25,SUPERVISION,2,10000.0,1,1.0,5000.0,0.0
2023-02-26,PASS,1,100.0,0,0.0,0.0,0.0
2023-02-26,SIM,1,1000.0,1,0.0,0.0,1.0
2023-02-26,SUPERVISION,2,10000.0,0,0.0,0.0,-1.0
2023-02-27,PASS,0,0,0,-1.0,-100.0,0.0
2023-02-27,SIM,1,1000.0,0,0.0,0.0,-1.0
2023-02-27,SUPERVISION,3,15000.0,1,1.0,5000.0,1.0
2023-02-28,PASS,2,200.0,0,2.0,200.0,0.0
2023-02-28,SIM,1,1000.0,0,0.0,0.0,0.0
2023-02-28,SUPERVISION,2,10000.0,0,-1.0,-5000.0,-1.0
2023-03-01,PASS,0,0.0,1,-2.0,-200.0,1.0
2023-03-01,SIM,1,1000.0,0,0.0,0.0,0.0
2023-03-01,SUPERVISION,2,10000.0,1,0.0,0.0,1.0
2023-03-02,PASS,0,0.0,1,0.0,0.0,0.0
2023-03-02,SIM,1,1000.0,1,0.0,0.0,1.0
2023-03-02,SUPERVISION,1,5000.0,1,-1.0,-5000.0,0.0
